timestamp,Delta,Theta,Alpha,Beta,Gamma,Stress_Index,Stress_Label,Trend,User_Comment
1769056631.0527585,0.0,0.0,0.0,0.0,0.0,0.0,L,Stable,
1769056632.1197116,0.0,0.0,0.0,0.0,0.0,0.0,L,Stable,
1769056633.1285248,0.06384180943260673,0.07438308673748853,0.07539479235185938,0.1256245187177877,0.10367307791949618,0.8387332011134137,M,Increasing,
1769056634.131919,0.38168010979494643,0.057099500450146334,0.05924460275286349,0.10925725580642995,0.08578510673076685,0.9390791086049205,M,Increasing,
1769056635.1388829,0.37505308642722024,0.0800634142822914,0.048144849735298006,0.09136630594154675,0.10738074567457141,0.7126341972371977,M,Decreasing,
1769056636.1469836,0.3244935042140164,0.07550282284040884,0.04388497337591219,0.08685460181422804,0.13957708284668485,0.727493739503461,M,Stable,
1769056637.1674297,0.24830119286384877,0.07833306183745764,0.0477421638768679,0.09981843291239278,0.18685866608029836,0.7917308148054023,M,Increasing,
1769056638.178176,0.15966932469785636,0.10368874535402987,0.07243750179366694,0.13091749131157673,0.21725292672812135,0.7433119714963349,M,Decreasing,
1769056639.1828597,0.18149694739043515,0.0820203723431124,0.060097391437400116,0.1154109720300042,0.2161141845380982,0.8120741340548411,M,Increasing,
1769056640.191675,0.21571939441623872,0.08707014444741928,0.06636166866288315,0.10180117514791498,0.21566502092176454,0.6634902475178526,M,Decreasing,
1769056641.1936584,0.21685234671464393,0.0858957091976346,0.07104575750642891,0.10948148039037602,0.20913153073377444,0.6975899046930256,M,Increasing,
1769056642.1990995,0.17103753371921887,0.10299122593545766,0.07603696059016918,0.11161090263820608,0.21249687030778452,0.6234229446282477,M,Decreasing,
1769056643.2092936,0.0969108824238405,0.07915619399018141,0.07591923372754532,0.14601898678822667,0.23165451691157246,0.9415936963289702,M,Increasing,
1769056644.229041,0.08363524645819671,0.07370355492688875,0.07355676998057073,0.12948400453740622,0.26174853535857256,0.8792804534304935,M,Decreasing,
1769056645.248459,0.054893412954091315,0.06527856209298147,0.0604899554438464,0.13550893589918772,0.26575435807826997,1.0774386238661362,M,Increasing,
1769056646.2708135,0.06839011340611426,0.08493126257184869,0.057372550298505354,0.12869072066411097,0.24339327558937915,0.9043314703723612,M,Decreasing,
1769056647.289595,0.23582002989475762,0.1443988324569953,0.05473663382610509,0.09242705552997363,0.17420330981402926,0.46413927722597836,L,Decreasing,
1769056648.3086622,0.27290465218661675,0.1482425004220833,0.058073455279309925,0.09301310214327727,0.15812692558548197,0.45082626305274215,L,Stable,
1769056649.3298447,0.28387393823235896,0.14934732608197732,0.043578490087002444,0.09215227516301387,0.15250337457874305,0.4776540503436288,L,Increasing,
1769056650.3501678,0.2871941617088422,0.13279439557060554,0.05418593907007389,0.09193089045640909,0.1561612040341882,0.49165811460845527,L,Stable,
1769056651.3700557,0.26565791248365783,0.12599942434455028,0.07303807209155326,0.10311092622126346,0.16100983914541583,0.5180451423595069,M,Increasing,
1769056652.3887346,0.2226938352074667,0.056714498295119896,0.06751838904106558,0.08556939149501845,0.2285212883030518,0.6887765756171,M,Increasing,
1769056653.4104033,0.19830414248317843,0.08510843640774358,0.05659322761290444,0.08686592641535307,0.2378648340662604,0.6130154786835589,M,Decreasing,
1769056654.4291987,0.28853367812084063,0.14691085092498948,0.05499477285910868,0.08131662831737736,0.15568141713258632,0.40274373764146776,L,Decreasing,
1769056655.4513764,0.3257742491807026,0.16050239679243666,0.06495735580499572,0.06524361786849082,0.1428365431706779,0.28937904764731026,L,Decreasing,
1769056656.4689133,0.3583838972187802,0.13217814905938344,0.06646361675615617,0.06601111360085063,0.13089056207950298,0.3323106851127354,L,Increasing,
1769056657.4889684,0.3820999389566877,0.13026470666616963,0.06220930490278753,0.0735345556672489,0.1110733836742468,0.38204728534802035,L,Increasing,
1769056658.514401,0.3695755245716325,0.1260441789005124,0.0727712811862975,0.0724994507612324,0.09846399246661289,0.36465517356851,L,Stable,
1769056659.529973,0.18843076698134698,0.11770382607614845,0.08224233731295563,0.12978521340630905,0.1634264319226896,0.6490975476043266,M,Increasing,
1769056660.5495737,0.14088066368710042,0.08430150273387871,0.06818069665023394,0.13299385822763193,0.20179014877768892,0.8721869606933803,M,Increasing,
1769056661.5693364,0.13092338267413223,0.12328439920241407,0.06540151689503113,0.12516954540802538,0.20225442258584078,0.6633716210793492,M,Decreasing,
1769056662.5890856,0.10722202735769748,0.10092009069467181,0.05183720084302703,0.12764392378415285,0.23589791298696272,0.8355940780645082,M,Increasing,
1769056663.6098588,0.1453500671468214,0.13100010653560565,0.06521544338523286,0.11636966138273988,0.2111111536902745,0.5930675135695128,M,Decreasing,
1769056664.6296182,0.16096297713158494,0.12427888884267564,0.05769108292577048,0.10931572884847655,0.21406431267078324,0.6007316869614694,M,Stable,
1769056665.6487837,0.1907805864549455,0.10294568678180886,0.0669856648184649,0.10323431075676634,0.19971150460717915,0.6075023960099192,M,Stable,
1769056666.6700768,0.2147331925235522,0.07542929370195743,0.0614677563709668,0.11028479218151407,0.19432754326556692,0.8055979769088489,M,Increasing,
1769056667.6907659,0.27722294556881893,0.08665985613683502,0.05996457151280745,0.11856316608311983,0.13715897258605905,0.808612585031454,M,Stable,
1769056668.7087688,0.22721380901379037,0.12797150603292481,0.06264089245745205,0.12136365481929583,0.16617720559801047,0.6367005456094571,M,Decreasing,
1769056669.7296405,0.21284678413890085,0.17688920362422467,0.07737398297994771,0.12355661731796255,0.13109255971841413,0.48593794890316283,L,Decreasing,
1769056670.7496333,0.27412368128372716,0.17479946973229782,0.06325342109705537,0.10879678672622894,0.1045073818679377,0.45702587068496586,L,Decreasing,
1769056671.7692895,0.2748573162667796,0.18109133360532587,0.06183732737941502,0.10930452079311932,0.09826355640519265,0.44994308373066494,L,Stable,
1769056672.7828252,0.21630813264915966,0.17335206728844835,0.09439001543462779,0.11118880065726822,0.12302656171028863,0.41528169290659,L,Decreasing,
1769056674.2100406,0.3416230117016944,0.18122314804297032,0.09684543652112597,0.0794054630516527,0.09909352194610606,0.28555968527132963,L,Decreasing,
1769056675.2301164,0.3435368126255566,0.19259227310927948,0.0843870121004965,0.07065394162943964,0.09639671572415334,0.25508653648734825,L,Decreasing,
1769056676.2527502,0.45430569047355995,0.11842529618976468,0.062678418040083,0.04738463683309825,0.07066719716239808,0.26164220536501553,L,Stable,
1769056677.2721646,0.4921373854493355,0.09659564788803099,0.05637664753045415,0.04517633575621467,0.06562694221655747,0.29532171371890054,L,Increasing,
1769056678.2905786,0.5722456803112629,0.07687875995938104,0.017434601462644368,0.02391297846050832,0.04589415838567594,0.2535454632779169,L,Decreasing,
1769056679.3089771,0.5928364166640406,0.07988972989011488,0.018358253418714825,0.021213842555315027,0.041282149150221124,0.21591920690550825,L,Decreasing,
1769056680.3320878,0.519507074067034,0.08910045107060215,0.030937437451678186,0.024765879974322245,0.06499173392402914,0.20631547225402264,L,Stable,
1769056681.352389,0.4128403970815125,0.10815181971436338,0.046355851150183036,0.04812490439739202,0.09200444475698497,0.31147057396915817,L,Increasing,
1769056682.3689983,0.4781868269418978,0.06880222840753022,0.04181902917496038,0.04006218622430261,0.09107744148567239,0.3621530341163792,L,Increasing,
1769056683.3897345,0.5548486755927148,0.06675444248010196,0.05292469409761946,0.037588046191665704,0.06712547996496718,0.3140708831599275,L,Decreasing,
1769056684.390723,0.5229294437877259,0.09098596896799664,0.04148969202743969,0.03033354214227686,0.06903657198697155,0.228972725568029,L,Decreasing,
1769056685.4107375,0.5341936552985432,0.10626704765309629,0.03522096904708179,0.0341738425621108,0.06303940795627151,0.24153000253388424,L,Stable,
1769056686.4285712,0.5580153981692915,0.08480627246080956,0.033792047439735885,0.03644678923805776,0.061186191268126834,0.3073102718347893,L,Increasing,
1769056687.4487562,0.5563293367148091,0.11306253027181783,0.041009147988723314,0.03868896128865894,0.04983687203120918,0.2511085140172279,L,Decreasing,
1769056688.4681141,0.5389913944282945,0.12551303541119158,0.03897003825054331,0.03604917958317616,0.060256945811858545,0.21916516767034902,L,Decreasing,
