timestamp,Delta,Theta,Alpha,Beta,Gamma,Stress_Index,Stress_Label
1769023333.9258056,0.01875,0.0234375,0.028125000000000004,0.084375,0.0984375,1.6363319014419113,H
1769023334.9377632,0.11135889824232874,0.11773587683858895,0.04825287733844376,0.040409655575832606,0.2754001592077949,0.2434466860691569,L
1769023335.955907,0.17285997886740384,0.04054517510010105,0.024168841153538127,0.030167778452238926,0.32060574784440227,0.4661634995810184,L
1769023336.977468,0.1765228876228132,0.04349598230422515,0.01599912403362721,0.02064976420606054,0.36666526929065213,0.3470775732583165,L
1769023337.9962037,0.15578336350477764,0.039898446772714,0.017768076139907826,0.0305480080019712,0.4173149541807303,0.5297263773278024,M
1769023338.99722,0.1843329500195791,0.019945507202302953,0.007891947086089552,0.022570541499395504,0.4827708649648269,0.810768488277975,M
1769023340.0187778,0.14955603961768515,0.028500332882869205,0.003797464355809949,0.024356802358599033,0.5331284978641682,0.7541086492666899,M
1769023341.0371945,0.16697124403193295,0.03111428874644635,0.004876292407687858,0.014380484796086921,0.5335283121415171,0.3995513488141127,L
1769023342.0578785,0.16075475880280748,0.04548195238091722,0.005392303640704326,0.011485569042356883,0.5284707325153564,0.22575943475302837,L
1769023343.0744026,0.16709512956286726,0.047083613167025765,0.006223554029360093,0.008805726717130447,0.5256516488311717,0.1651853211289442,L
1769023344.0976233,0.12389720737695456,0.06130365653727723,0.013314272017867043,0.01425072849616838,0.5284402830066564,0.19098007398534173,L
1769023345.1180506,0.11504603276205076,0.07099340253082899,0.014926628001635956,0.020049905826888932,0.5275673818656206,0.233352715890822,L
1769023346.1370256,0.12183027964392712,0.06728058726762579,0.013015493131815608,0.02124018019831076,0.5398558951625274,0.2645199563004102,L
1769023347.1581302,0.03640054879070166,0.015957224827719437,0.02125011977406436,0.05862788194035594,0.5814816341619694,1.5756648829129924,H
1769023348.1785192,0.02445507049478963,0.02275311219125386,0.02845128340190537,0.055012560933113755,0.5816971890707616,1.074350862752892,M
1769023349.198313,0.035152386837891306,0.03200530440944143,0.03335426504317558,0.052568306069058233,0.5771197147335417,0.8042816411990948,M
1769023350.2177896,0.08224153171656991,0.040569035948922645,0.017402764866939473,0.02447794545452255,0.5605972976946866,0.42223154841649574,L
1769023351.237911,0.07602572828689011,0.043649586830589525,0.01832722406577523,0.02731518255422874,0.5605590018543805,0.44072519114789976,L
1769023352.2569609,0.09231926962199286,0.04753878145364117,0.015726752020564123,0.030032215706986803,0.5427572525919355,0.474693555309639,L
1769023353.2777317,0.13781824603027265,0.04088538981038413,0.006905412234168173,0.01478600305352247,0.5355239124761031,0.3093836687668466,L
1769023354.295652,0.13694356437526164,0.04041421932301671,0.0057018972261073594,0.015586222613770084,0.533512653868103,0.3379704495871419,L
1769023355.3163466,0.12474096108563293,0.04020085421145279,0.012281626450951393,0.026016899550026933,0.5279192304168914,0.4957159704665659,L
1769023356.3367932,0.1323826914242868,0.04643835596661006,0.010178699079698247,0.02534540409377283,0.5233695840088126,0.44765585947879427,L
1769023357.3559892,0.12327258651904846,0.05701229117967847,0.014489038712668966,0.02906022706410971,0.5345956821141644,0.406423498477074,L
1769023358.3761191,0.062132931299187934,0.038043796593404164,0.022964864466009614,0.04834822915523312,0.5503665116345752,0.7924684109972283,M
1769023359.3979251,0.05145124783742849,0.03663743534422698,0.041524158352356864,0.057626524243996245,0.5546173573310424,0.737264739034816,M
