timestamp,Delta,Theta,Alpha,Beta,Gamma,Stress_Index,Stress_Label,Comment
1769023477.8660715,0.0,0.0,0.0,0.0,0.0,0.0,L,Stable
1769023478.9427187,0.0,0.0,0.0,0.0,0.0,0.0,L,Stable
1769023479.972994,0.019797879980470817,0.02423367771736432,0.028286086611637916,0.1080354437951109,0.2687601884393902,2.0570044091200166,H,Increasing
1769023480.9789717,0.04810229527223721,0.013676461617703584,0.010684802307375386,0.020827740576240084,0.39604495768999753,0.8549181077871675,M,Decreasing
1769023481.9964993,0.03405253603081635,0.01030956970223805,0.01274586110958372,0.017384815431923616,0.4581562994588569,0.7540115629262906,M,Decreasing
1769023482.9989607,0.021006029340388248,0.006060999890243635,0.007218076785310809,0.011399692271342687,0.5290072996533077,0.8584056063717532,M,Increasing
1769023484.0060756,0.011640619182865746,0.005701941769419435,0.006936897094396409,0.010322592914189112,0.5854192285498234,0.8166712428383618,M,Decreasing
1769023485.0256824,0.003697371648484262,0.0037407125744326726,0.004298779595811889,0.008840383011561759,0.6683938459371548,1.0994828207503706,M,Increasing
1769023486.0592144,0.0016087191158584736,0.0036364859795305336,0.004047937291273621,0.007504021083934026,0.6602777053810955,0.976396591250966,M,Decreasing
1769023487.1719618,0.0012785966888120017,0.0026995512574812075,0.002180036235125489,0.005371504983175365,0.6865725407340953,1.1005857371294603,M,Increasing
1769023488.1866813,0.0013017794989822753,0.0029810820206153483,0.0022553586798716853,0.005501996809613534,0.6700551201455267,1.0505124781846025,M,Decreasing
1769023489.2087085,0.0013180495791522049,0.0018936737519656174,0.0019307525831671495,0.0035954300406052125,0.6894327355118965,0.9398769511216919,M,Decreasing
1769023490.228846,0.0012889956737690803,0.001218073297204971,0.000985546665801055,0.0027473581467180293,0.7128547406741574,1.2461821959427297,M,Increasing
1769023491.2491124,0.001077957441786775,0.0006120487560149331,0.0006919475111831096,0.0021100946195895726,0.7413248435955253,1.6169353680376086,H,Increasing
1769023492.266919,0.001351715902861218,0.0006558149685622634,0.0005041266764263062,0.0017253557079210309,0.744779351193139,1.486169193231085,M,Decreasing
1769023493.2867196,0.0022015972843455927,0.0011773227600710523,0.0007251886240531069,0.0025224276698499358,0.7273059316035576,1.3251445149672965,M,Decreasing
1769023494.307877,0.0028655112128960413,0.001627968349660264,0.0006665254338207754,0.002760095701585484,0.7245760104959222,1.2023973758708644,M,Decreasing
1769023495.327478,0.004103851674481656,0.0014522798541298687,0.0008514298874806468,0.002927619210454726,0.722259849604451,1.2702767544206783,M,Increasing
1769023496.3464112,0.004157561416338406,0.000973730946067664,0.0006842069065742926,0.002342312182641477,0.723348137716304,1.4119348587478469,M,Increasing
1769023497.367281,0.004125202253724351,0.0009381106516544678,0.000686344002003279,0.002549243822338401,0.7133364409486644,1.5683266319376301,H,Increasing
1769023498.387083,0.0021687790902101345,0.0006007787420284546,0.0005111150618100355,0.001832592400539608,0.7459469492785175,1.6466911705490679,H,Increasing
1769023499.4088101,0.0014977183275076138,0.00019577169884432794,0.00018705641358087577,0.0014878924147541076,0.7512381986982861,3.8764550239765256,H,Increasing
1769023500.4276032,0.0019247678589616104,0.000749842044933788,0.0012946058517129542,0.0023010443563374655,0.7370751774802828,1.124958675363837,M,Decreasing
1769023501.4683447,0.0021400343336669186,0.0011318589225953824,0.0014102459012368886,0.0027281169995638085,0.735450928725041,1.0727505111066313,M,Decreasing
1769023502.4873857,0.004076118500151281,0.0026383383338761473,0.0023446905754715883,0.0034095446540515625,0.7211629845191923,0.6840940765124439,M,Decreasing
1769023503.5068672,0.004238021239500643,0.0028621708015373714,0.0022826581031765857,0.0033753312241703816,0.7256629918082285,0.6559353773069155,M,Decreasing
1769023504.5277963,0.003670784499233468,0.0044380498934649916,0.003027858899821583,0.004198606897297177,0.7145099527999899,0.5622951898210011,M,Decreasing
1769023505.5473733,0.009384904788831722,0.004124100037725205,0.0029802080968384078,0.005951461230717071,0.6211291345057222,0.8376077600021765,M,Increasing
1769023506.5679765,0.010879029304311212,0.0038295117245025065,0.0033494322790442984,0.007175523206139195,0.6225010926636212,0.9993842852527225,M,Increasing
